Date Finished, Base Config, Name, Prune Rate, Subnet Init, Current Val Top 1, Current Val Top 5, Best Val Top 1, Best Val Top 5, Best Val ECE, Best Train Top 1, Best Train Top 5
02-02-23_11:52:15, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.01, unsigned_constant, 19.06, 76.89, 20.29, 77.26, 0.11, 19.26, 75.61
02-02-23_11:52:30, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.01, signed_constant, 9.77, 51.26, 9.85, 51.33, 0.10, 9.79, 51.15
02-02-23_11:52:30, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.01, unsigned_constant, 1.76, 9.28, 2.37, 9.85, 0.01, 2.23, 9.31
02-02-23_11:52:31, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.01, signed_constant, 0.87, 4.98, 0.90, 5.01, 0.01, 0.91, 4.98
02-02-23_11:52:45, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.02, unsigned_constant, 22.51, 83.43, 26.97, 84.20, 0.13, 23.79, 83.00
02-02-23_11:53:18, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.01, kaiming_normal, 76.46, 98.58, 76.46, 98.58, 0.25, 80.41, 98.55
02-02-23_11:53:28, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.02, unsigned_constant, 3.21, 12.84, 3.21, 13.54, 0.02, 2.79, 13.66
02-02-23_11:54:23, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.01, kaiming_normal, 29.93, 61.41, 30.68, 62.38, 0.03, 41.62, 72.70
02-02-23_12:22:08, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.02, signed_constant, 10.00, 50.00, 10.00, 50.00, 0.10, 10.00, 50.00
02-02-23_12:22:13, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.02, signed_constant, 1.03, 5.00, 1.04, 5.01, 0.01, 1.03, 5.03
02-02-23_12:23:47, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.02, kaiming_normal, 86.02, 99.41, 86.02, 99.45, 0.33, 89.17, 99.65
02-02-23_12:25:45, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.02, kaiming_normal, 56.09, 83.43, 56.09, 83.43, 0.05, 61.44, 88.04
02-02-23_12:51:44, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.04, unsigned_constant, 35.66, 88.26, 37.72, 90.03, 0.21, 37.51, 88.64
02-02-23_12:55:33, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.04, unsigned_constant, 5.51, 22.04, 5.82, 23.27, 0.02, 5.71, 22.96
02-02-23_13:02:49, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR10, 0.01, unsigned_constant, 14.64, 61.07, 18.90, 67.42, 0.11, 18.77, 68.44
02-02-23_13:03:14, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR100, 0.01, signed_constant, 1.20, 5.16, 1.25, 5.23, 0.01, 1.12, 5.13
02-02-23_13:03:26, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR10, 0.01, signed_constant, 10.00, 50.00, 10.00, 50.00, 0.13, 10.00, 50.00
02-02-23_13:03:42, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR100, 0.01, unsigned_constant, 1.36, 6.50, 2.30, 10.36, 0.01, 2.33, 10.35
02-02-23_13:04:55, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR10, 0.01, kaiming_normal, 85.12, 99.24, 86.63, 99.40, 0.24, 89.94, 99.71
02-02-23_13:05:12, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR10, 0.02, unsigned_constant, 16.09, 64.96, 25.31, 80.95, 0.13, 27.05, 82.93
02-02-23_13:05:59, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR100, 0.01, kaiming_normal, 58.13, 85.63, 58.13, 85.63, 0.02, 64.60, 89.66
02-02-23_13:24:58, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.04, signed_constant, 9.93, 50.19, 10.00, 50.26, 0.10, 10.20, 50.15
02-02-23_13:32:29, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR10, 0.02, signed_constant, 10.23, 50.96, 10.35, 51.33, 0.10, 10.28, 51.04
02-02-23_13:32:35, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR100, 0.02, unsigned_constant, 1.88, 9.59, 3.24, 14.30, 0.01, 3.29, 15.12
02-02-23_13:32:51, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.04, signed_constant, 0.65, 4.98, 0.66, 5.05, 0.01, 0.65, 4.94
02-02-23_13:33:08, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR100, 0.02, signed_constant, 0.99, 5.02, 1.04, 5.06, 0.01, 1.04, 5.04
02-02-23_13:34:26, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.04, kaiming_normal, 89.74, 99.66, 89.90, 99.70, 0.32, 94.86, 99.95
02-02-23_13:35:53, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR10, 0.02, kaiming_normal, 89.03, 99.30, 89.35, 99.41, 0.15, 94.42, 99.89
02-02-23_13:38:07, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.04, kaiming_normal, 64.70, 89.21, 64.70, 89.21, 0.06, 74.79, 94.63
02-02-23_13:54:44, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.06, unsigned_constant, 45.43, 90.77, 46.93, 92.17, 0.26, 48.22, 92.10
02-02-23_14:02:25, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.06, unsigned_constant, 8.49, 27.51, 8.94, 27.62, 0.03, 9.31, 28.77
02-02-23_14:02:26, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.06, signed_constant, 10.22, 48.45, 10.28, 48.48, 0.11, 10.10, 48.57
02-02-23_14:03:59, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR10, 0.04, unsigned_constant, 26.06, 79.15, 34.51, 86.49, 0.13, 37.27, 87.95
02-02-23_14:05:32, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.06, signed_constant, 1.03, 5.19, 1.08, 5.31, 0.01, 1.22, 5.30
02-02-23_14:06:01, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR100, 0.02, kaiming_normal, 68.64, 91.08, 68.64, 91.08, 0.04, 80.85, 96.88
02-02-23_14:25:13, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.06, kaiming_normal, 90.76, 99.73, 91.12, 99.75, 0.37, 97.04, 99.98
02-02-23_14:32:29, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR100, 0.04, unsigned_constant, 3.19, 12.70, 6.53, 24.64, 0.01, 7.38, 25.89
02-02-23_14:33:28, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.06, kaiming_normal, 68.08, 91.00, 68.08, 91.00, 0.05, 82.02, 97.13
02-02-23_14:36:00, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.05, standard, 90.89, 99.79, 90.89, 99.79, 0.45, 96.54, 99.97
02-02-23_14:42:57, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR10, 0.04, signed_constant, 10.05, 51.15, 10.57, 51.45, 0.10, 10.50, 51.30
02-02-23_14:44:19, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR100, 0.04, signed_constant, 0.97, 4.93, 1.03, 5.00, 0.01, 1.02, 5.05
02-02-23_14:47:13, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR10, 0.04, kaiming_normal, 91.88, 99.53, 92.16, 99.53, 0.23, 98.10, 99.97
02-02-23_14:49:10, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR100, 0.04, kaiming_normal, 71.92, 92.08, 71.92, 92.08, 0.04, 91.05, 99.37
02-02-23_14:56:31, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.05, standard, 66.31, 90.38, 66.31, 90.38, 0.10, 79.74, 96.35
02-02-23_15:03:52, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.1, standard, 92.09, 99.65, 92.09, 99.73, 0.46, 99.04, 100.00
02-02-23_15:12:43, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR10, 0.06, unsigned_constant, 27.71, 81.73, 42.54, 90.14, 0.13, 44.12, 90.89
02-02-23_15:13:33, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR100, 0.06, unsigned_constant, 3.29, 14.78, 8.49, 29.82, 0.02, 11.21, 33.64
02-02-23_15:14:32, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.1, standard, 70.48, 91.80, 70.48, 91.80, 0.14, 90.58, 99.19
02-02-23_15:14:56, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR10, 0.06, signed_constant, 10.00, 50.00, 10.01, 50.01, 0.13, 10.00, 50.01
02-02-23_15:17:37, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.2, standard, 92.67, 99.72, 92.67, 99.76, 0.53, 99.71, 100.00
02-02-23_15:20:46, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR100, 0.06, signed_constant, 0.99, 5.21, 1.12, 5.38, 0.01, 1.13, 5.32
02-02-23_15:27:53, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.2, standard, 72.45, 92.19, 72.45, 92.19, 0.09, 96.77, 99.93
02-02-23_15:43:03, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.3, standard, 92.60, 99.77, 92.60, 99.81, 0.45, 99.76, 100.00
02-02-23_15:44:35, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR10, 0.06, kaiming_normal, 92.94, 99.38, 92.95, 99.60, 0.23, 98.95, 99.99
02-02-23_15:45:44, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.3, standard, 72.64, 92.27, 72.64, 92.27, 0.10, 98.03, 99.98
02-02-23_15:47:02, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR100, 0.06, kaiming_normal, 72.96, 92.20, 73.52, 92.44, 0.03, 95.97, 99.88
02-02-23_15:48:54, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR10, 0.05, standard, 92.46, 99.36, 92.46, 99.54, 0.28, 98.61, 99.99
02-02-23_16:15:40, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR100, 0.05, standard, 73.26, 92.41, 73.26, 92.41, 0.04, 94.19, 99.74
02-02-23_16:18:05, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR10, 0.1, standard, 93.24, 99.40, 93.36, 99.65, 0.29, 99.50, 99.99
02-02-23_16:28:03, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR100, 0.1, standard, 74.91, 92.56, 74.91, 92.56, 0.07, 98.44, 99.99
02-02-23_16:31:15, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR10, 0.2, standard, 93.61, 99.43, 93.75, 99.56, 0.33, 99.57, 100.00
02-02-23_16:46:58, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR100, 0.2, standard, 75.19, 92.83, 75.19, 92.83, 0.04, 98.88, 100.00
02-02-23_16:55:47, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR10, 0.3, standard, 93.30, 99.46, 93.49, 99.67, 0.26, 99.46, 99.99
02-02-23_16:58:26, configs/smallscale/resnet50/resnet50-ukn-unsigned.yaml, CIFAR100, 0.3, standard, 75.23, 92.60, 75.26, 92.69, 0.04, 98.96, 100.00
